trade_id;internal_ts;direction;pair;strategy;spread_pct;ex1;ex1_order_id;ex1_type;ex1_side;ex1_qty_ordered;ex1_qty_filled;ex1_price_expected;ex1_price_actual;ex1_value_usdt;ex1_fees;ex1_create_ts;ex1_status;ex2;ex2_order_id;ex2_type;ex2_side;ex2_qty_ordered;ex2_qty_filled;ex2_price_expected;ex2_price_actual;ex2_value_usdt;ex2_fees;ex2_create_ts;ex2_status;profit_usdt_expected;profit_mpc_expected;profit_usdt_actual;profit_mpc_actual;limit_watch_status;limit_last_check;error_code;error_message;raw_ex1_response;raw_ex2_response;raw_ex2_response_ts
1b16111d31;;MXC->KCN;MPC-USDT;USDT;;MXC;C02__688414521529683969119;market;buy;;158,00;;0,017469;2,760168;0,001380;;FILLED;KCN;6a17515967c971000713d108;limit;sell;158,00;78,00;;0,018162;1,416636;0,004250;;;;;;80,00;FILLED;;;;;;
1b16111d31_ex1p1;;;;;;;;;;;78,07;;0,017520;1,367786;0,000684;2026-05-27 22:17:28.000;FILLED;;;;;;;;;;;;;;;;;;;;;;;
1b16111d31_ex1p2;;;;;;;;;;;79,93;;0,017420;1,392381;0,000696;2026-05-27 22:17:28.000;FILLED;;;;;;;;;;;;;;;;;;;;;;;
1b16111d31_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a17515967c971000713d108;limit;sell;158,00;78,00;;0,018162;1,416636;0,004250;;FILLED;;;;80,00;;;;;;;
1b16111d31_ex2p1;;;;;;;;;;;;;;;;;;;;;;;78,00;;0,018162;1,416636;0,004250;2026-05-27 22:17:29.000;FILLED;;;;;;;;;;;
1b1611211e;;MXC->KCN;MPC-USDT;USDT;;MXC;C02__688414538755608579119;market;buy;;152,00;;0,017683;2,687877;0,001344;;FILLED;KCN;6a17515d1296f100074afb9f;limit;sell;152,00;83,00;;0,018162;1,507446;0,004522;;;;;;69,00;FILLED;;;;;;
1b1611211e_ex1p1;;;;;;;;;;;83,15;;0,017720;1,473418;0,000737;2026-05-27 22:17:32.000;FILLED;;;;;;;;;;;;;;;;;;;;;;;
1b1611211e_ex1p2;;;;;;;;;;;68,39;;0,017640;1,206400;0,000603;2026-05-27 22:17:32.000;FILLED;;;;;;;;;;;;;;;;;;;;;;;
1b1611211e_ex1p3;;;;;;;;;;;0,46;;0,017520;0,008059;0,000004;2026-05-27 22:17:32.000;FILLED;;;;;;;;;;;;;;;;;;;;;;;
1b1611211e_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a17515d1296f100074afb9f;limit;sell;152,00;83,00;;0,018162;1,507446;0,004522;;FILLED;;;;69,00;;;;;;;
