trade_id;internal_ts;direction;pair;strategy;spread_pct;ex1;ex1_order_id;ex1_type;ex1_side;ex1_qty_ordered;ex1_qty_filled;ex1_price_expected;ex1_price_actual;ex1_value_usdt;ex1_fees;ex1_create_ts;ex1_status;ex2;ex2_order_id;ex2_type;ex2_side;ex2_qty_ordered;ex2_qty_filled;ex2_price_expected;ex2_price_actual;ex2_value_usdt;ex2_fees;ex2_create_ts;ex2_status;profit_usdt_expected;profit_mpc_expected;profit_usdt_actual;profit_mpc_actual;limit_watch_status;limit_last_check;error_code;error_message;raw_ex1_response;raw_ex2_response;raw_ex2_response_ts
1b1611d4e;2026-05-27T22:17:11.640815;MXC->KCN;MPC-USDT;USDT;4,325100517;MXC;C02__688414456513777664119;market;buy;137;137;0,01741;0,01741;1,0049052;0;27.05.2026 22:17;FILLED;;;;;;;;;;;;;;;;;;;;;"{""status"": ""Filled"", ""orderId"": ""C02__688414456513777664119"", ""quantity"": ""57.72"", ""amount"": ""1.0049052"", ""fees"": 0.0, ""price"": ""0.017410000000000002"", ""executedQty"": ""57.72"", ""cummulativeQuoteQty"": ""1.0049052"", ""fills_count"": 1, ""ex1_partial_fills"": [{""qty_filled"": 57.72, ""price_actual"": 0.01741, ""value_usdt"": 1.0049052, ""fees"": 0.0, ""create_ts"": 1779913032000}]}";;
1b1611d4e_ex1p1;;;;;;;;;;;79,28;;0,0173;1,371544;0,000686;2026-05-27 22:17:12.000;FILLED;KCN;;;;;;;;;;;;;;;;;;;;;;
1b1611d4e_ex1p2;;;;;;;;;;;57,72;;0,01741;1,004905;0,000502;2026-05-27 22:17:12.000;FILLED;KCN;;;;;;;;;;;;;;;;;;;;;;
1b1611d4e_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a17514967c9710007139cef;limit;sell;58;58;0,018163;0,018163;0;0,003160362;;PARTIAL;0,0485488;79;;79;FILLED;2026-05-27T22:17:19.615854;;;;"{""orderId"": ""6a17514967c9710007139cef""}";2026-05-27T22:17:13.783106
1b1611d4e_ex2p1;;;;;;;;;;;;;;;;;;KCN;6a17514967c9710007139cef;limit;sell;;58;;0,018163;0;1,053454;0,00316;2026-05-27 22:17:13.000;FILLED;;;;FILLED;FILLED;;;;;
1b16111d31;2026-05-27T22:17:27.147203;MXC->KCN;MPC-USDT;USDT;3,664383562;MXC;C02__688414521529683969119;market;buy;158;158;0,01752;0,01752;1,3677864;0;27.05.2026 22:17;FILLED;;;;;;;;;;;;;;;;;;;;;"{""status"": ""Filled"", ""orderId"": ""C02__688414521529683969119"", ""quantity"": ""78.07"", ""amount"": ""1.3677864"", ""fees"": 0.0, ""price"": ""0.01752"", ""executedQty"": ""78.07"", ""cummulativeQuoteQty"": ""1.3677864"", ""fills_count"": 1, ""ex1_partial_fills"": [{""qty_filled"": 78.07, ""price_actual"": 0.01752, ""value_usdt"": 1.3677864, ""fees"": 0.0, ""create_ts"": 1779913048000}]}";;
1b16111d31_ex1p1;;;;;;;;;;;79,93;;0,01742;1,392381;0,000696;2026-05-27 22:17:28.000;FILLED;KCN;;;;;;;;;;;;;;;;;;;;;;
1b16111d31_ex1p2;;;;;;;;;;;78,07;;0,01752;1,367786;0,000684;2026-05-27 22:17:28.000;FILLED;KCN;;;;;;;;;;;;;;;;;;;;;;
1b16111d31_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a17515967c971000713d108;limit;sell;78;78;0,018162;0,018162;0;0,004249908;;PARTIAL;0,0488496;80;;80;FILLED;2026-05-27T22:17:37.920521;;;;"{""orderId"": ""6a17515967c971000713d108""}";2026-05-27T22:17:29.493777
1b16111d31_ex2p1;;;;;;;;;;;;;;;;;;KCN;6a17515967c971000713d108;limit;sell;;78;;0,018162;0;1,416636;0,00425;2026-05-27 22:17:29.000;FILLED;;;;FILLED;FILLED;;;;;
