trade_id;internal_ts;direction;pair;strategy;spread_pct;ex1;ex1_order_id;ex1_type;ex1_side;ex1_qty_ordered;ex1_qty_filled;ex1_price_expected;ex1_price_actual;ex1_value_usdt;ex1_fees;ex1_create_ts;ex1_status;ex2;ex2_order_id;ex2_type;ex2_side;ex2_qty_ordered;ex2_qty_filled;ex2_price_expected;ex2_price_actual;ex2_value_usdt;ex2_fees;ex2_create_ts;ex2_status;profit_usdt_expected;profit_mpc_expected;profit_usdt_actual;profit_mpc_actual;limit_watch_status;limit_last_check;error_code;error_message;raw_ex1_response;raw_ex2_response;raw_ex2_response_ts
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,013944879;;;;;;;;;;
1b16111d31_ex1p1;;;;;;;;;;;78,07;;0,01752;1,3677864;0;2026-05-27 22:17:28.000;FILLED;;;;;;;;;;;;;;;;;;;;;;;
1b16111d31_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a17515967c971000713d108;limit;sell;78;78.0;0,018162;0.018162;0;0.004249908;;PARTIAL;0,0488496;0,07;;0,07;FILLED;2026-05-27T22:17:37.920521;;;;"{""orderId"": ""6a17515967c971000713d108""}";2026-05-27T22:17:29.493777
1b16111d31_ex2p1;;;;;;;;;;;;;;;;;;KCN;6a17515967c971000713d108;limit;sell;;78.0;;0.018162;0;0.004249908;0;FILLED;;;;;FILLED;2026-05-27T22:17:37.915325;;;;;
1b16111d31;2026-05-27T22:17:27.147203;MXC->KCN;MPC-USDT;USDT;3,664383562;MXC;C02__688414521529683969119;market;buy;158;78,07;0,01752;0,01752;1,3677864;0;27.05.2026 22:17;PARTIAL;;;;;;;;;;;;;;;;;;;;;"{""status"": ""Filled"", ""orderId"": ""C02__688414521529683969119"", ""quantity"": ""78.07"", ""amount"": ""1.3677864"", ""fees"": 0.0, ""price"": ""0.01752"", ""executedQty"": ""78.07"", ""cummulativeQuoteQty"": ""1.3677864"", ""fills_count"": 1, ""ex1_partial_fills"": [{""qty_filled"": 78.07, ""price_actual"": 0.01752, ""value_usdt"": 1.3677864, ""fees"": 0.0, ""create_ts"": 1779913048000}]}";;
1b1611211e_ex1p1;;;;;;;;;;;83,15;;0,01772;1,473418;0;2026-05-27 22:17:32.000;FILLED;;;;;;;;;;;;;;;;;;;;;;;
1b1611211e_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a17515d1296f100074afb9f;limit;sell;83;83.0;0,018162;0.018162;0;0.004522338;;PARTIAL;0,034028;0,15;;0,15;FILLED;2026-05-27T22:17:37.253927;;;;"{""orderId"": ""6a17515d1296f100074afb9f""}";2026-05-27T22:17:33.306823
1b1611211e_ex2p1;;;;;;;;;;;;;;;;;;KCN;6a17515d1296f100074afb9f;limit;sell;;83.0;;0.018162;0;0.004522338;0;FILLED;;;;;FILLED;2026-05-27T22:17:37.249648;;;;;
1b1611211e;2026-05-27T22:17:31.251991;MXC->KCN;MPC-USDT;USDT;2,494356659;MXC;C02__688414538755608579119;market;buy;152;83,15;0,01772;0,01772;1,473418;0;2026-05-27 22:17:32.028;PARTIAL;;;;;;;;;;;;;;;;;;;;;"{""status"": ""Filled"", ""orderId"": ""C02__688414538755608579119"", ""quantity"": ""83.15"", ""amount"": ""1.473418"", ""fees"": 0.0, ""price"": ""0.017719999999999996"", ""executedQty"": ""83.15"", ""cummulativeQuoteQty"": ""1.473418"", ""fills_count"": 1, ""ex1_partial_fills"": [{""qty_filled"": 83.15, ""price_actual"": 0.01772, ""value_usdt"": 1.473418, ""fees"": 0.0, ""create_ts"": 1779913052000}]}";;
1b16113062_ex1p1;;;;;;;;;;;32,97;;0,01793;0,5911521;0;2026-05-27 22:17:47.000;FILLED;;;;;;;;;;;;;;;;;;;;;;;
