datetime_utc,timestamp,side,type,qty,price,quote_qty,is_buyer_maker
2026-04-27 19:57:50,1777312670836,SELL,MARKET,100.27,0.01108,1.1109916,False
2026-04-27 19:57:50,1777312670603,SELL,MARKET,100.27,0.01108,1.1109916,False
2026-04-27 19:51:53,1777312313135,SELL,MARKET,100.18,0.01108,1.1099944,False
2026-04-27 19:51:52,1777312312784,SELL,MARKET,100.27,0.01108,1.1109916,False
2026-04-27 19:30:44,1777311044597,SELL,MARKET,16.35,0.01136,0.1857360,False
2026-04-27 19:30:44,1777311044001,SELL,MARKET,97.46,0.01136,1.1071456,False
2026-04-27 19:30:39,1777311039523,SELL,MARKET,100.46,0.01106,1.1110876,False
2026-04-27 19:30:38,1777311038864,SELL,MARKET,100.46,0.01106,1.1110876,False
2026-04-27 19:30:18,1777311018600,SELL,MARKET,30.49,0.01112,0.3390488,False
2026-04-27 19:30:15,1777311015225,SELL,MARKET,100,0.01103,1.10300,False
2026-04-27 19:30:11,1777311011845,SELL,MARKET,100,0.01103,1.10300,False
2026-04-27 19:30:05,1777311005723,BUY,MARKET,131.1,0.01105,1.448655,True
2026-04-27 19:30:05,1777311005723,BUY,MARKET,285.23,0.01106,3.1546438,True
2026-04-27 19:30:05,1777311005723,BUY,MARKET,100.27,0.01109,1.1119943,True
2026-04-27 19:30:05,1777311005723,BUY,MARKET,119.42,0.0111,1.325562,True
2026-04-27 19:30:05,1777311005723,BUY,MARKET,100,0.01112,1.11200,True
2026-04-27 19:30:05,1777311005723,BUY,MARKET,99.73,0.01115,1.1119895,True
2026-04-27 19:30:05,1777311005723,BUY,MARKET,99.02,0.01123,1.1119946,True
2026-04-27 19:30:05,1777311005723,BUY,MARKET,98.15,0.01133,1.1120395,True
2026-04-27 19:29:48,1777310988938,SELL,MARKET,98,0.01124,1.10152,False
2026-04-27 19:29:45,1777310985601,SELL,MARKET,99,0.01113,1.10187,False
2026-04-27 19:29:42,1777310982794,BUY,MARKET,75.54,0.01117,0.8437818,True
2026-04-27 19:29:42,1777310982794,BUY,MARKET,116.01,0.01119,1.2981519,True
2026-04-27 19:29:42,1777310982794,BUY,MARKET,99.29,0.0112,1.112048,True
2026-04-27 19:29:42,1777310982794,BUY,MARKET,98.85,0.01125,1.1120625,True
2026-04-27 19:29:42,1777310982794,BUY,MARKET,59.26,0.0113,0.669638,True
2026-04-27 19:27:35,1777310855382,SELL,MARKET,98.24,0.01131,1.1110944,False
2026-04-27 19:27:33,1777310853353,BUY,MARKET,98.24,0.01132,1.1120768,True
2026-04-27 19:27:33,1777310853353,BUY,MARKET,97.89,0.01136,1.1120304,True
2026-04-27 19:26:55,1777310815810,SELL,MARKET,97.63,0.01137,1.1100531,False
2026-04-27 19:26:53,1777310813446,SELL,MARKET,97.04,0.01137,1.1033448,False
2026-04-27 19:26:47,1777310807840,SELL,MARKET,98.24,0.01131,1.1110944,False
2026-04-27 19:26:47,1777310807540,SELL,MARKET,76.42,0.01131,0.8643102,False
2026-04-27 19:26:47,1777310807540,SELL,MARKET,21.82,0.01131,0.2467842,False
2026-04-27 19:26:47,1777310807268,SELL,MARKET,98.24,0.01131,1.1110944,False
2026-04-27 19:26:46,1777310806912,SELL,MARKET,85.36,0.01131,0.9654216,False
2026-04-27 19:26:46,1777310806912,SELL,MARKET,12.88,0.01131,0.1456728,False
2026-04-27 19:26:46,1777310806611,SELL,MARKET,98.24,0.01131,1.1110944,False
2026-04-27 19:26:45,1777310805572,SELL,MARKET,41.44,0.01131,0.4686864,False
2026-04-27 19:26:45,1777310805572,SELL,MARKET,55.56,0.01131,0.6283836,False
2026-04-27 19:26:42,1777310802169,SELL,MARKET,97,0.01131,1.09707,False
2026-04-27 19:26:39,1777310799750,SELL,MARKET,39.15,0.01126,0.4408290,False
2026-04-27 19:26:39,1777310799174,SELL,MARKET,98.5,0.01126,1.109110,False
2026-04-27 19:26:38,1777310798725,SELL,MARKET,98,0.01126,1.10348,False
2026-04-27 19:26:38,1777310798686,SELL,MARKET,98.5,0.01126,1.109110,False
2026-04-27 19:26:38,1777310798368,SELL,MARKET,98.59,0.01126,1.1101234,False
2026-04-27 19:26:37,1777310797928,SELL,MARKET,98.67,0.01126,1.1110242,False
2026-04-27 19:26:35,1777310795386,SELL,MARKET,98,0.01118,1.09564,False
2026-04-27 19:26:32,1777310792810,SELL,MARKET,24.02,0.01116,0.2680632,False
2026-04-27 19:26:32,1777310792041,SELL,MARKET,99,0.01116,1.10484,False
2026-04-27 19:26:28,1777310788653,SELL,MARKET,198.41,0.0111,2.202351,False
2026-04-27 19:26:28,1777310788653,SELL,MARKET,21.64,0.01109,0.2399876,False
2026-04-27 19:26:28,1777310788470,SELL,MARKET,100.37,0.01107,1.1110959,False
2026-04-27 19:26:25,1777310785292,SELL,MARKET,99,0.01109,1.09791,False
2026-04-27 19:26:21,1777310781881,SELL,MARKET,888.12,0.01106,9.8226072,False
2026-04-27 19:26:21,1777310781881,SELL,MARKET,131.88,0.01103,1.4546364,False
2026-04-27 19:26:21,1777310781694,SELL,MARKET,119.46,0.011,1.31406,False
2026-04-27 19:26:21,1777310781694,SELL,MARKET,227.91,0.01099,2.5047309,False
2026-04-27 19:26:21,1777310781694,SELL,MARKET,442.3,0.01099,4.860877,False
2026-04-27 19:26:21,1777310781201,SELL,MARKET,909.09,0.01099,9.9908991,False
2026-04-27 19:26:20,1777310780998,SELL,MARKET,909.09,0.01099,9.9908991,False
2026-04-27 19:26:20,1777310780010,SELL,MARKET,286.79,0.01099,3.1518221,False
2026-04-27 19:26:18,1777310778504,SELL,MARKET,182.48,0.01099,2.0054552,False
2026-04-27 19:26:17,1777310777693,SELL,MARKET,182.48,0.01098,2.0036304,False
2026-04-27 19:26:17,1777310777257,SELL,MARKET,74.4,0.01096,0.815424,False
2026-04-27 19:26:16,1777310776929,SELL,MARKET,287.83,0.01096,3.1546168,False
2026-04-27 19:26:16,1777310776533,SELL,MARKET,225.45,0.01094,2.4664230,False
2026-04-27 19:26:15,1777310775133,SELL,MARKET,121.27,0.01092,1.3242684,False
2026-04-27 19:25:59,1777310759351,SELL,MARKET,192.97,0.01083,2.0898651,False
2026-04-27 19:25:59,1777310759015,SELL,MARKET,290.22,0.01083,3.1430826,False
2026-04-27 19:25:58,1777310758119,BUY,MARKET,291.29,0.01083,3.1546707,True
2026-04-27 19:25:58,1777310758119,BUY,MARKET,290.75,0.01085,3.1546375,True
2026-04-27 19:25:58,1777310758119,BUY,MARKET,166.49,0.01087,1.8097463,True
2026-04-27 19:25:58,1777310758119,BUY,MARKET,289.68,0.01089,3.1546152,True
2026-04-27 19:25:57,1777310757188,SELL,MARKET,123.73,0.01086,1.3437078,False
2026-04-27 19:25:55,1777310755798,SELL,MARKET,116.86,0.01078,1.2597508,False
